ref	object	object_type	peeled_object	peeled_type	created_at	subject	original_url	commit_url
refs/tags/fuse-2.9.6	fa92e199c5d2e9d08ce4726f53d98811d752f095	tag	a82a069c9770019bce0fe695e2b1f1d76139a52c	commit	2016-04-23T09:48:15-07:00	Tagged release	https://github.com/extfuse/libfuse/releases/tag/fuse-2.9.6	https://github.com/extfuse/libfuse/commit/a82a069c9770019bce0fe695e2b1f1d76139a52c
refs/tags/fuse-2.9.7	850320db6dc96895799cd14dc2ac72fae857958d	tag	df499bf1ce634f6e67d4d366c4475d32143f00f0	commit	2016-06-20T12:55:21-07:00	Tagged release	https://github.com/extfuse/libfuse/releases/tag/fuse-2.9.7	https://github.com/extfuse/libfuse/commit/df499bf1ce634f6e67d4d366c4475d32143f00f0
refs/tags/fuse-2.9.8	66f3faa29d6a74fb560013377b34ddfc47371c80	tag	6172ece7177fec28f3a771bbd445d5e9b9d5acd0	commit	2018-07-25T11:06:08+01:00	Tagged release.	https://github.com/extfuse/libfuse/releases/tag/fuse-2.9.8	https://github.com/extfuse/libfuse/commit/6172ece7177fec28f3a771bbd445d5e9b9d5acd0
refs/tags/fuse-2.9.9	59d3809daa2921e1324a23b9dbec46e2a7cbd2be	tag	d04687923194d906fe5ad82dcd546c9807bf15b6	commit	2019-01-04T13:38:46Z	Tagged release.	https://github.com/extfuse/libfuse/releases/tag/fuse-2.9.9	https://github.com/extfuse/libfuse/commit/d04687923194d906fe5ad82dcd546c9807bf15b6
refs/tags/fuse-3.0.0	0b59fa976f04865acfda70fcc5ec5bb8370fe9b7	tag	085cbab117b72df8da113a46d9ec9ba64ca301c6	commit	2016-12-09T09:33:10-08:00	Tagged release	https://github.com/extfuse/libfuse/releases/tag/fuse-3.0.0	https://github.com/extfuse/libfuse/commit/085cbab117b72df8da113a46d9ec9ba64ca301c6
refs/tags/fuse-3.0.0pre0	1379fb7c4c9b8d98b391ec775326afc3406451be	tag	7667317eef10e32a1b25b9d0abf3e7805e4b8434	commit	2016-10-03T09:09:21-07:00	Tagged release	https://github.com/extfuse/libfuse/releases/tag/fuse-3.0.0pre0	https://github.com/extfuse/libfuse/commit/7667317eef10e32a1b25b9d0abf3e7805e4b8434
refs/tags/fuse-3.0.0rc1	4964c2137e0f1688dafd1f01b9379c59d044545c	tag	3475bc3b5a5ee0fd1fd867e2af8804c9d93c3bd4	commit	2016-10-28T11:58:01-07:00	Tagged release	https://github.com/extfuse/libfuse/releases/tag/fuse-3.0.0rc1	https://github.com/extfuse/libfuse/commit/3475bc3b5a5ee0fd1fd867e2af8804c9d93c3bd4
refs/tags/fuse-3.0.0rc2	36024a8dc9e90cb6db94a4f04a0f252029448302	tag	d0b377c9afde0ebc8f5d2c0be4d124912f3606c1	commit	2016-11-29T08:40:53-08:00	Tagged release.	https://github.com/extfuse/libfuse/releases/tag/fuse-3.0.0rc2	https://github.com/extfuse/libfuse/commit/d0b377c9afde0ebc8f5d2c0be4d124912f3606c1
refs/tags/fuse-3.0.0rc3	4408138ebd2ea3cf0e6f6e2d10f919482f88e02d	tag	0ff1e001e8c422756312c397f277c717f2770cec	commit	2016-11-29T08:35:03-08:00	Tagged release	https://github.com/extfuse/libfuse/releases/tag/fuse-3.0.0rc3	https://github.com/extfuse/libfuse/commit/0ff1e001e8c422756312c397f277c717f2770cec
refs/tags/fuse-3.0.1	9b7295392d39329c532dc93b40420f3f8ec0108e	tag	6c94a9f5b66e733ce455c1ddceb2f92be162cf0b	commit	2017-04-10T17:28:50-07:00	Tagged release.	https://github.com/extfuse/libfuse/releases/tag/fuse-3.0.1	https://github.com/extfuse/libfuse/commit/6c94a9f5b66e733ce455c1ddceb2f92be162cf0b
refs/tags/fuse-3.0.2	60da25090e638abde9b3acc74d79e03eb9fd40ef	tag	e90bb40f9cddd3dfc403328de21f538b77f814b3	commit	2017-05-24T13:56:32-07:00	Tagged release	https://github.com/extfuse/libfuse/releases/tag/fuse-3.0.2	https://github.com/extfuse/libfuse/commit/e90bb40f9cddd3dfc403328de21f538b77f814b3
