ref	object	object_type	peeled_object	peeled_type	created_at	subject	original_url	commit_url
refs/tags/v4.12-rc5	d612c4ce21e76aafc04bfd38d9400fde145090dd	tag	32c1431eea4881a6b17bd7c639315010aeefa452	commit	2017-06-11T16:48:27-07:00	Linux 4.12-rc5	https://github.com/extfuse/linux/releases/tag/v4.12-rc5	https://github.com/extfuse/linux/commit/32c1431eea4881a6b17bd7c639315010aeefa452
refs/tags/v4.12-rc6	1e455240998832dacdf1d27f67dbfc25c3f453c3	tag	41f1830f5a7af77cf5c86359aba3cbd706687e52	commit	2017-06-19T22:19:48+08:00	Linux 4.12-rc6	https://github.com/extfuse/linux/releases/tag/v4.12-rc6	https://github.com/extfuse/linux/commit/41f1830f5a7af77cf5c86359aba3cbd706687e52
refs/tags/v4.12-rc7	c5fc112f12a4e33d750f2ceea94a7d8fc415f4f1	tag	c0bc126f97fb929b3ae02c1c62322645d70eb408	commit	2017-06-25T18:30:14-07:00	Linux 4.12-rc7	https://github.com/extfuse/linux/releases/tag/v4.12-rc7	https://github.com/extfuse/linux/commit/c0bc126f97fb929b3ae02c1c62322645d70eb408
refs/tags/v4.13	269e8c00ebbf99adfc6a60af813dc43a378e7c06	tag	569dbb88e80deb68974ef6fdd6a13edb9d686261	commit	2017-09-03T13:56:28-07:00	Linux 4.13	https://github.com/extfuse/linux/releases/tag/v4.13	https://github.com/extfuse/linux/commit/569dbb88e80deb68974ef6fdd6a13edb9d686261
refs/tags/v4.13-rc1	c5a15c6f450709c4dc4517250cea9aff202ed9bd	tag	5771a8c08880cdca3bfb4a3fc6d309d6bba20877	commit	2017-07-15T15:22:25-07:00	Linux v4.13-rc1	https://github.com/extfuse/linux/releases/tag/v4.13-rc1	https://github.com/extfuse/linux/commit/5771a8c08880cdca3bfb4a3fc6d309d6bba20877
refs/tags/v4.13-rc2	9ae81923f5fc397e5f0cf2836926a7d1cab26aa5	tag	520eccdfe187591a51ea9ab4c1a024ae4d0f68d9	commit	2017-07-23T16:15:27-07:00	Linux 4.13-rc2	https://github.com/extfuse/linux/releases/tag/v4.13-rc2	https://github.com/extfuse/linux/commit/520eccdfe187591a51ea9ab4c1a024ae4d0f68d9
refs/tags/v4.13-rc3	f7965d62aac0f3728499ca12d77525afdda2ede9	tag	16f73eb02d7e1765ccab3d2018e0bd98eb93d973	commit	2017-07-30T12:40:48-07:00	Linux 4.13-rc3	https://github.com/extfuse/linux/releases/tag/v4.13-rc3	https://github.com/extfuse/linux/commit/16f73eb02d7e1765ccab3d2018e0bd98eb93d973
refs/tags/v4.13-rc4	c3c4ea1b1d61a2e4923ba77837767bc8bbebf12b	tag	aae4e7a8bc44722fe70d58920a36916b1043195e	commit	2017-08-06T18:44:56-07:00	Linux 4.13-rc4	https://github.com/extfuse/linux/releases/tag/v4.13-rc4	https://github.com/extfuse/linux/commit/aae4e7a8bc44722fe70d58920a36916b1043195e
refs/tags/v4.13-rc5	2ef4d46d02937a82e6a2446d41f209a998f3b7fd	tag	ef954844c7ace62f773f4f23e28d2d915adc419f	commit	2017-08-13T16:01:40-07:00	Linux 4.13-rc5	https://github.com/extfuse/linux/releases/tag/v4.13-rc5	https://github.com/extfuse/linux/commit/ef954844c7ace62f773f4f23e28d2d915adc419f
refs/tags/v4.13-rc6	383584ac020b8c34f88f31aa66062628c80fd46d	tag	14ccee78fc82f5512908f4424f541549a5705b89	commit	2017-08-20T14:14:03-07:00	Linux 4.13-rc6	https://github.com/extfuse/linux/releases/tag/v4.13-rc6	https://github.com/extfuse/linux/commit/14ccee78fc82f5512908f4424f541549a5705b89
